State,Postal,pop2020
Alabama,AL,5024803
Alaska,AK,732441
Arizona,AZ,7177986
Arkansas,AR,3012232
California,CA,39499738
Colorado,CO,5784308
Connecticut,CT,3600260
Delaware,DE,991886
District of Columbia,DC,690093
Florida,FL,21569932
Georgia,GA,10725800
Hawaii,HI,1451911
Idaho,ID,1847772
Illinois,IL,12785245
Indiana,IN,6785644
Iowa,IA,3188669
Kansas,KS,2935880
Kentucky,KY,4503958
Louisiana,LA,4651203
Maine,ME,1362280
Maryland,MD,6172679
Massachusetts,MA,7022220
Michigan,MI,10067664
Minnesota,MN,5707165
Mississippi,MS,2956870
Missouri,MO,6154481
Montana,MT,1086193
Nebraska,NE,1961455
Nevada,NV,3114071
New Hampshire,NH,1377848
New Jersey,NJ,9279743
New Mexico,NM,2117566
New York,NY,20154933
North Carolina,NC,10457177
North Dakota,ND,778962
Ohio,OH,11790587
Oklahoma,OK,3962031
Oregon,OR,4241544
Pennsylvania,PA,12989625
Rhode Island,RI,1096229
South Carolina,SC,5130729
South Dakota,SD,887099
Tennessee,TN,6920119
Texas,TX,29217653
Utah,UT,3281684
Vermont,VT,642495
Virginia,VA,8632044
Washington,WA,7718785
West Virginia,WV,1789798
Wisconsin,WI,5892323
Wyoming,WY,577267